desert;var;type;low.ci;mean;up.ci;sd
Atacama;Productivity;Surrounding heterogeneity;0.506278450681307;0.567840769557408;0.629403088433509;0.0314093463653578
Australian;Productivity;Surrounding heterogeneity;-0.285630540405613;-0.210993688366893;-0.136356836328174;0.0380800265503672
Central Asian;Productivity;Surrounding heterogeneity;0.0330817376822946;0.121664264707091;0.210246791731887;0.0451951668493859
Gobi;Productivity;Surrounding heterogeneity;-0.154981310224151;-0.0683792708060513;0.0182227686120487;0.0441847139888266
Kalahari;Productivity;Surrounding heterogeneity;0.214368879576545;0.290850179839453;0.367331480102361;0.0390210715627082
North American;Productivity;Surrounding heterogeneity;-0.346952226443219;-0.275183457866378;-0.203414689289536;0.0366167186616537
Persian;Productivity;Surrounding heterogeneity;-0.255134078173422;-0.175559205197672;-0.0959843322219221;0.0405994249876275
Saharo-Arabian;Productivity;Surrounding heterogeneity;0.155763202027908;0.235927368477457;0.316091534927005;0.0409000849232388
Atacama;Elevation;Average;-0.198045840043529;-0.106253373235705;-0.0144609064278818;0.0468328912284814
Australian;Elevation;Average;0.388843666663146;0.449370217219294;0.509896767775442;0.0308808931408918
Central Asian;Elevation;Average;-0.142341049499938;-0.0473661635713519;0.0476087223572343;0.0484565744533603
Gobi;Elevation;Average;-0.347934316315177;-0.269929496492968;-0.191924676670758;0.0397983774603109
Kalahari;Elevation;Average;-0.1911108223928;-0.100726324117271;-0.0103418258417418;0.0461145399364944
North American;Elevation;Average;-0.324597966376505;-0.259895025949513;-0.195192085522521;0.0330117042994857
Persian;Elevation;Average;-0.169421822313694;-0.0753143860887906;0.018793050136113;0.0480139980739305
Saharo-Arabian;Elevation;Average;-0.0281371650251852;0.0618651750234618;0.151867515072109;0.0459195612493097
Atacama;Elevation;Heterogeneity within;0.0787811140690607;0.169432435024227;0.260083755979394;0.0462506739567177
Australian;Elevation;Heterogeneity within;0.151670990006738;0.235577255125866;0.319483520244994;0.0428093189383307
Central Asian;Elevation;Heterogeneity within;-0.135080325297097;-0.0452646184756531;0.0445510883457906;0.0458243402150223
Gobi;Elevation;Heterogeneity within;-0.322458802839342;-0.232345867700115;-0.142232932560888;0.0459759873159322
Kalahari;Elevation;Heterogeneity within;0.270699040579976;0.339787241338618;0.40887544209726;0.0352490820197151
North American;Elevation;Heterogeneity within;-0.134387162087083;-0.0553251172399436;0.0237369276071956;0.0403377779832343
Persian;Elevation;Heterogeneity within;-0.160349033296948;-0.0691257036640624;0.0220976259688231;0.0465425151188191
Saharo-Arabian;Elevation;Heterogeneity within;0.0823044943561498;0.167244720355864;0.252184946355578;0.0433368499998541
Atacama;Elevation;Surrounding heterogeneity;0.29336208876752;0.374145173723692;0.454928258679864;0.0412158596715164
Australian;Elevation;Surrounding heterogeneity;0.126910528157068;0.205729372082627;0.284548216008185;0.040213695880387
Central Asian;Elevation;Surrounding heterogeneity;-0.00355031446165134;0.0905561217766088;0.184662558014869;0.0480134878766633
Gobi;Elevation;Surrounding heterogeneity;-0.170084010708943;-0.0745255556391995;0.0210328994305439;0.0487543138110936
Kalahari;Elevation;Surrounding heterogeneity;0.311421552208848;0.373253086523549;0.43508462083825;0.0315467011809698
North American;Elevation;Surrounding heterogeneity;-0.174259146633125;-0.0956209806907766;-0.0169828147484285;0.0401215132358919
Persian;Elevation;Surrounding heterogeneity;-0.141780473550737;-0.0505137106383326;0.040753052274072;0.0465646749553085
Saharo-Arabian;Elevation;Surrounding heterogeneity;0.141699010681145;0.220061544430652;0.298424078180159;0.0399808845660751
Atacama;Mean Diurnal Range;Average;-0.394960321657961;-0.321720835846746;-0.248481350035532;0.0373670845975584
Australian;Mean Diurnal Range;Average;0.0175788455641906;0.10014595560934;0.182713065654488;0.0421260765536474
Central Asian;Mean Diurnal Range;Average;0.165119625378876;0.241364740300059;0.317609855221242;0.0389005688373381
Gobi;Mean Diurnal Range;Average;0.104722361528904;0.188847818568982;0.272973275609061;0.0429211515510603
Kalahari;Mean Diurnal Range;Average;-0.399284839026709;-0.32890881543048;-0.258532791834251;0.0359061344878719
North American;Mean Diurnal Range;Average;0.125115783216585;0.201091949517318;0.277068115818052;0.0387633501534355
